#Name            dist lambda Rmm_90 RCO_90   Mdust  Lstar  Teff   Mstar   Age   Ref
#                (pc)  (mm)   (au)   (au)  (Mearth) (Lsun)  (K)   (Msun) (Myr)
#-------------------------------------------------------------------------------------------------------
AS209             121  1.2    127    280     107     1.41  4266   0.83    1.0   Long
CIDA1             136  0.9     38    132       7     0.20  3200   0.19    1.0   Long
CIDA7             136  0.9     20     95       5     0.08  3111   0.15    2.0   Long
CITau             159  1.3    226    520      53     0.81  4277   0.90    2.5   Semenov,Tripathi
CXTau             128  1.3     29    115       5     0.25  3488   0.38    1.6   Long
CYTau             129  1.3     73    295      63     0.25  3560   0.30    2.3   Semenov,Tripathi
DLTau             159  1.3    145    596     130     0.65  4277   1.05    3.2   Long
DMTau             145  1.1    178    876      34     0.14  3415   0.55    3.2   Long
DNTau             128  1.3     96    241      43     0.69  3806   0.87    0.9   Semenov,Tripathi
DoAr25            138  1.2    148    233     119     0.95  4266   0.95    2.0   Long
DoAr33            139  1.2     25     64      17     1.51  4467   1.10    1.6   Long
FPTau             128  1.3     47     74       4     0.16  3273   0.39    3.2   Long
GOTau             144  1.3    134   1014      40     0.21  3516   0.45    2.0   Long
GWLup             155  1.2     91    267      54     0.33  3631   0.46    2.0   Long
HD142666          148  1.2     53    172      67     9.12  7586   1.58   12.6   Long
HD143006          165  1.2     78    153      41     3.80  5623   1.82    4.0   Long
HD163296          101  1.2    137    478     185    16.98  9333   2.04   12.6   Long
IMLup             158  1.2    243    803     160     2.57  4266   0.89    0.5   Long
IQTau             131  1.3    119    220      30     0.21  3690   0.74    4.2   Semenov,Tripathi
J04202555+2700355 170  0.9     34     59       5     0.07  3091   0.14    2.5   Long
J04334465+2615005 173  0.9     62    164      12     0.12  3098   0.15    1.3   Long
J11004022–7619280 191  1.3    118    273      28     0.10  3270   0.47    3.2   Long
J16000236-4222145 163  1.3    107    266      28     0.17  3270   0.23    1.3   Ansdell,Tazzari,Long
J16083070-3828268 155  1.3     94    394      29     1.82  4900   1.53    2.5   Ansdell,Tazzari,Long
MHO6              142  0.9     55    217      10     0.06  3125   0.17    2.5   Long
MPMus              98  1.3     45    110      45     1.2   5000   1.30    8.5   Ribas
MYLup             156  1.2     76    192      49     0.87  5129   1.23    2.0   Long
RYLup             158  1.3    121    250      61     1.91  4900   1.53    2.5   Ansdell,Tazzari,Long
SR4               134  1.2     29     82      31     1.17  4074   0.68    0.8   Long
Sz100             137  1.3     39    178       9     0.08  3057   0.14    1.6   Ansdell,Tazzari,Long
Sz111             158  1.3     85    462      39     0.21  3705   0.51    5.0   Ansdell,Tazzari,Long
Sz123             162  1.3     46    146       9     0.13  3705   0.55    2.0   Ansdell,Tazzari,Long
Sz129             161  1.2     68    130      57     0.44  4074   0.83    4.0   Long
Sz65              155  1.3     35    172      14     0.87  4060   0.70    1.3   Ansdell,Tazzari,Long
Sz71              156  1.3     94    218      35     0.33  3632   0.41    2.0   Ansdell,Tazzari,Manara
Sz84              152  1.3     53    146       7     0.12  3125   0.27    1.3   Ansdell,Tazzari,Long
Sz98              156  1.3    163    358      51     1.51  4060   0.67    0.5   Ansdell,Tazzari,Long
TWHya              60  1.0     59    184      32     0.34  4070   0.81    6.3   Long
UZTau             131  1.3     84    389      67     0.83  3574   1.20    1.3   Long
V4046Sgr           73  1.1     66    362       4     0.86  4350   1.74   25.1   Long
WaOph6            123  1.2     91    298      62     2.88  4169   0.68    0.3   Long
